ASLLEXcode,NewFileName,EntryID,Cantonese_Filtered,Cantonese ,cantonese_orig,Frank's Note,Grace's Note
B_02_040,B_02_040-VOTE-0OKL-109,vote,投票,投票,投票,,
B_02_041,B_02_041-SLOW-0OB2-110,slow,慢,慢,慢,,
B_02_042,B_02_042-GROW-0OGG-111,grow,成長,成長,成長,,
B_02_043,B_02_043-OTHER-0KBM-112,other,其他,其他,其他,,
B_02_044,B_02_044-DREAM-0M92-113,dream,夢,夢,夢,,
B_02_045,B_02_045-THURSDAY-0PGV-114,thursday,星期四,星期四,星期四,,
B_02_047,B_02_047-WARM-0PKM-115,warm,暖,暖,暖,,
B_02_052,B_02_052-BOSS-1001-116,boss,老闆,老闆,老闆,,
B_02_053,B_02_053-SAD-0L8K-117,sad,唔開心,唔開心,不高興,written chinese,
B_02_055,B_02_055-CIGAR-15NA-118,cigar,雪茄,雪茄,雪茄,,
B_02_056,B_02_056-ZOOM_IN-0P9U-119,zoom_in,放大,放大,放大,,
B_02_057,B_02_057-CREDIT_CARD-0JV1-120,credit_card,信用卡,信用卡,信用卡,,
B_02_059,B_02_059-ACCIDENT-0O8F-121,accident,意外,意外,意外,,
B_02_059,B_02_059-^ACCIDENT_2-0O8F-122,^accident_2,意外,意外,意外,,
B_02_059,B_02_059-^ACCIDENT_3-0O8F-123,^accident_3,意外,意外,意外,,
B_02_062,B_02_062-GOVERNMENT-0P9V-124,government,政府,政府,政府,,
B_02_063,B_02_063-DANCE-13FJ-125,dance,跳舞,跳舞,跳舞,,
B_02_064,B_02_064-^EXPERIENCE_2-16MK-127,^experience_2,體驗,體驗,體驗,,
B_02_064,B_02_064-EXPERIENCE-0VCJ-126,experience,經驗,經驗,經驗,,
B_02_065,B_02_065-WET-0RUL-128,wet,濕,濕,濕,,
B_02_066,B_02_066-DISAGREEMENT-0KG6-129,disagreement,分歧,分歧,分歧,,
B_02_067,B_02_067-PURPLE-0V9B-130,purple,紫色,紫色,紫色,,
B_02_068,B_02_068-LOOK_APPEARANCE-0TOB-131,look_appearance,看似,看似,看似,,
B_02_069,B_02_069-MEAN_1-0KHR-132,mean_1,刻薄,刻薄,刻薄,,
B_02_070,B_02_070-NEW-0PDG-133,new,新的,新的,新的,,
B_02_071,B_02_071-AGE-0NJK-134,age,年紀,年紀,年紀,,
B_02_072,B_02_072-ABOUT_1-15ES-135,about_1,關於,關於,關於,,
B_02_073,B_02_073-SEW-0VHB-136,sew,縫紉,縫紉,縫紉,,
B_02_074,B_02_074-DECIDE_1-0R3Q-137,decide_1,決定,決定,決定,,
B_02_075,B_02_075-STRESS-0M6J-138,stress,壓力,壓力,壓力,,
B_02_076,B_02_076-WONDER-12MN-139,wonder,諗,諗,諗,,
B_02_077,B_02_077-^PILE_2-0M06-141,^pile_2,堆 (衣服),堆(衣服),堆,deleted specific meaning,
B_02_077,B_02_077-PILE-0M06-140,pile,堆 (垃圾),堆(垃圾),垃圾堆,reorganize,
B_02_078,B_02_078-HAIRDRYER-1658-142,hairdryer,風筒,風筒,風筒,,
B_02_079,B_02_079-WEEK-0PGV-143,week,星期,星期,星期,,
B_02_079,B_02_079-^WEEK_2-0PGV-144,^week_2,星期,星期_2,星期,,
B_02_080,B_02_080-TIME-0PI2-145,time,時間,時間,時間,,
B_02_081,B_02_081-BLINDS_1-0UKN-146,blinds_1,窗簾,窗簾,窗簾,,
B_02_082,B_02_082-BAD-123G-147,bad,衰,衰,衰,,
B_02_083,B_02_083-HEALTH-0K35-148,health,健康,健康,健康,,
B_02_084,B_02_084-LEAVE-15N2-149,leave,離開,離開,離開,,
B_02_085,B_02_085-GREEN-0VD0-150,green,綠色,綠色,綠色,,
B_02_086,B_02_086-SON-0KAI-151,son,兒子,兒子,兒子,,
B_02_087,B_02_087-SUNSET-0PF5-152,sunset,日落,日落,日落,,
B_02_088,B_02_088-CHARACTER-0O17-153,character,性格,性格,性格,,
B_02_089,B_02_089-TRAVEL-0PE5-154,travel,旅行,旅行,旅行,,
B_02_090,B_02_090-BOY-0T9N-155,boy,男仔,男仔,男仔,,
B_03_001,B_03_001-FREEWAY-16MO-156,freeway,高速公路,高速公路,高速公路,,
B_03_002,B_03_002-ANIMAL-0KML-157,animal,動物,動物,動物,,
B_03_003,B_03_003-TRAIN-0S3B-158,train,火車,火車,火車,,
B_03_004,B_03_004-REMOTE_CONTROL-1430-159,remote_control,遠端控制,遠端控制,遙控,existing equivalent,
B_03_005,B_03_005-EMOTION-0O8V-160,emotion,感情,感情,感情,,
B_03_006,B_03_006-VIDEOCAMERA-0P8T-161,videocamera,攝錄機,攝錄機,攝錄機,,
